4019.7s 84 Applying LS move: opt=oropt_single, delta=-3.1714, current_len=4
4019.7s 85 Applying LS move: opt=2exchange, delta=-2.0429, current_len=4
4019.7s 86 Applying LS move: opt=2exchange, delta=-3.6933, current_len=4
4019.7s 87 Applying LS move: opt=oropt_single, delta=-1.6483, current_len=4
4019.7s 88 Applying LS move: opt=2opt*, delta=-10.6528, current_len=4
4019.7s 89 Applying LS move: opt=oropt_single, delta=-4.8148, current_len=4
4019.7s 90 Applying LS move: opt=2opt, delta=-2.8523, current_len=4
4019.7s 91 Applying LS move: opt=oropt_single, delta=-3.2074, current_len=4
4019.7s 92 Applying LS move: opt=2opt, delta=-1.3541, current_len=4
4019.7s 93 Applying LS move: opt=oropt_single, delta=-0.4964, current_len=4
4019.7s 94 Applying LS move: opt=2exchange, delta=-5.9727, current_len=4
4019.7s 95 Applying LS move: opt=2exchange, delta=-2.8613, current_len=4
4019.7s 96 Applying LS move: opt=2exchange, delta=-0.9760, current_len=4
4019.7s 97 Applying LS move: opt=2opt, delta=-2.9781, current_len=4
4019.7s 98 Applying LS move: opt=2opt, delta=-0.5371, current_len=4
4019.7s 99 Applying LS move: opt=2exchange, delta=-0.3859, current_len=4
4019.7s 100 Gen: 825. a 0.3520, p_hybrid 0.1500, accepted 26. Avg 24297.1038, Best 2048.0833, Worst 47313.1665, Best vehicles 1
4019.7s 101 Gen 825 done, no improvement for 25 gens, already consumed 525 sec
4019.7s 102 Periodic deep local search on global best.
4019.7s 103 Applying LS move: opt=2exchange, delta=-55.1879, current_len=4
4019.7s 104 Applying LS move: opt=2opt*, delta=-52.6957, current_len=4
4019.7s 105 Applying LS move: opt=2exchange, delta=-52.3008, current_len=4
4019.7s 106 Applying LS move: opt=2exchange, delta=-34.1292, current_len=4
4019.7s 107 Applying LS move: opt=2opt*, delta=-33.8868, current_len=4
4019.7s 108 Applying LS move: opt=2exchange, delta=-33.1147, current_len=4
4019.7s 109 Applying LS move: opt=2opt*, delta=-31.9773, current_len=4
4019.7s 110 Applying LS move: opt=2opt*, delta=-25.9508, current_len=4
4019.7s 111 Applying LS move: opt=2exchange, delta=-23.2299, current_len=4
4019.7s 112 Applying LS move: opt=oropt_single, delta=-39.1414, current_len=4
4019.7s 113 Applying LS move: opt=2opt*, delta=-21.1720, current_len=4
4019.7s 114 Applying LS move: opt=2exchange, delta=-20.0025, current_len=4
4019.7s 115 Applying LS move: opt=2opt*, delta=-18.2742, current_len=4
4019.7s 116 Applying LS move: opt=oropt_single, delta=-23.9668, current_len=4
4019.7s 117 Applying LS move: opt=2exchange, delta=-16.4265, current_len=4
4019.7s 118 Applying LS move: opt=2opt*, delta=-26.5793, current_len=4
4019.7s 119 Applying LS move: opt=2opt*, delta=-24.8970, current_len=4
4019.7s 120 Applying LS move: opt=2exchange, delta=-22.0354, current_len=4
4019.7s 121 Applying LS move: opt=2opt*, delta=-15.4670, current_len=4
4019.7s 122 Applying LS move: opt=oropt_single, delta=-37.6925, current_len=4
4019.7s 123 Applying LS move: opt=2opt*, delta=-14.0192, current_len=4
4019.7s 124 Applying LS move: opt=oropt_single, delta=-13.9956, current_len=4
4019.7s 125 Applying LS move: opt=2exchange, delta=-13.3711, current_len=4
4019.7s 126 Applying LS move: opt=oropt_single, delta=-11.9852, current_len=4
4019.7s 127 Applying LS move: opt=2exchange, delta=-9.6483, current_len=4
4019.7s 128 Applying LS move: opt=oropt_single, delta=-9.4303, current_len=4
4019.7s 129 Applying LS move: opt=2opt*, delta=-23.9279, current_len=4
4019.7s 130 Applying LS move: opt=oropt_single, delta=-9.7845, current_len=4
4019.7s 131 Applying LS move: opt=oropt_single, delta=-9.1321, current_len=4
4019.7s 132 Applying LS move: opt=2opt, delta=-9.1912, current_len=4
4019.7s 133 Applying LS move: opt=2opt*, delta=-8.6001, current_len=4
4019.7s 134 Applying LS move: opt=2opt*, delta=-12.7723, current_len=4
4019.7s 135 Applying LS move: opt=oropt_single, delta=-11.2360, current_len=4
4020.0s 136 Applying LS move: opt=oropt_single, delta=-8.1206, current_len=4
4020.0s 137 Applying LS move: opt=oropt_single, delta=-7.0521, current_len=4
4020.0s 138 Applying LS move: opt=2opt*, delta=-6.3280, current_len=4
4020.0s 139 Applying LS move: opt=2exchange, delta=-19.3138, current_len=4
4020.0s 140 Applying LS move: opt=2opt, delta=-5.3209, current_len=4
4020.0s 141 Applying LS move: opt=2opt*, delta=-5.1103, current_len=4
4020.0s 142 Applying LS move: opt=oropt_single, delta=-4.9673, current_len=4
4020.0s 143 Applying LS move: opt=2opt, delta=-7.1235, current_len=4
4020.0s 144 Applying LS move: opt=oropt_single, delta=-3.1924, current_len=4
